Experiment,NewSubject,Block,Frame,Feedback,Distribution,Confidence.Order,FilterTrialRandomization,Gamble,RT,TypeCount
3,319,1,Gain,Full,Standard,Last,0,0.4,1160.9,10
3,319,1,Lose,Full,Standard,Last,0,0.875,1068.125,8
3,319,2,Gain,Full,Standard,Last,0,0.375,1198.125,8
3,319,2,Lose,Full,Standard,Last,0,0.8,1338.1,10
3,319,3,Gain,Full,Standard,Last,0,0.444444444,1002.1,10
3,319,3,Lose,Full,Standard,Last,0,0.625,1236.625,8
3,319,4,Gain,Full,Standard,Last,0,0.5,1043.75,8
3,319,4,Lose,Full,Standard,Last,0,0.5,1017.5,10
3,320,1,Gain,Full,Tight,First,0,0.5,1028.4,10
3,320,1,Lose,Full,Tight,First,0,0.857142857,713.25,8
3,320,2,Gain,Full,Tight,First,0,0.375,1253.25,8
3,320,2,Lose,Full,Tight,First,0,0.555555556,922.3,10
3,320,3,Gain,Full,Tight,First,0,0.5,986.7,10
3,320,3,Lose,Full,Tight,First,0,0.571428571,1104.25,8
3,320,4,Gain,Full,Tight,First,0,0.625,1053.625,8
3,320,4,Lose,Full,Tight,First,0,0.777777778,1004.3,10
3,321,1,Gain,Full,Tight,Last,0,0.2,712.8,10
3,321,1,Lose,Full,Tight,Last,0,0.75,999.125,8
3,321,2,Gain,Full,Tight,Last,0,0.125,620.875,8
3,321,2,Lose,Full,Tight,Last,0,0.8,1270,10
3,321,3,Gain,Full,Tight,Last,0,0.4,926.9,10
3,321,3,Lose,Full,Tight,Last,0,0.375,1105.5,8
3,321,4,Gain,Full,Tight,Last,0,0.25,868.5,8
3,321,4,Lose,Full,Tight,Last,0,0.6,1053.8,10
3,322,1,Gain,Full,Standard,First,0,0.2,1146.2,10
3,322,1,Lose,Full,Standard,First,0,0.875,1066.625,8
3,322,2,Gain,Full,Standard,First,0,0,917.875,8
3,322,2,Lose,Full,Standard,First,0,1,1100.2,10
3,322,3,Gain,Full,Standard,First,0,0.1,1078.2,10
3,322,3,Lose,Full,Standard,First,0,0.875,1197.75,8
3,322,4,Gain,Full,Standard,First,0,0.5,961.75,8
3,322,4,Lose,Full,Standard,First,0,0.6,1211,10
3,323,1,Gain,Full,Standard,Last,0,0.1,752.9,10
3,323,1,Lose,Full,Standard,Last,0,0.625,1263.25,8
3,323,2,Gain,Full,Standard,Last,0,0,747,8
3,323,2,Lose,Full,Standard,Last,0,0.5,909.4,10
3,323,3,Gain,Full,Standard,Last,0,0.2,1064.3,10
3,323,3,Lose,Full,Standard,Last,0,0.571428571,994.625,8
3,323,4,Gain,Full,Standard,Last,0,0.25,950.375,8
3,323,4,Lose,Full,Standard,Last,0,0.555555556,827.2,10
3,324,1,Gain,Full,Tight,First,0,0.2,467,10
3,324,1,Lose,Full,Tight,First,0,1,527.75,8
3,324,2,Gain,Full,Tight,First,0,0,475.25,8
3,324,2,Lose,Full,Tight,First,0,0.9,560.8,10
3,324,3,Gain,Full,Tight,First,0,0.6,586.1,10
3,324,3,Lose,Full,Tight,First,0,0.875,749.875,8
3,324,4,Gain,Full,Tight,First,0,0.625,681.25,8
3,324,4,Lose,Full,Tight,First,0,0.6,832.5,10
3,325,1,Gain,Full,Tight,Last,0,0.6,910.4,10
3,325,1,Lose,Full,Tight,Last,0,0.428571429,833.5,8
3,325,2,Gain,Full,Tight,Last,0,0.5,877.25,8
3,325,2,Lose,Full,Tight,Last,0,0.6,876,10
3,325,3,Gain,Full,Tight,Last,0,0.5,820.3,10
3,325,3,Lose,Full,Tight,Last,0,0.5,1028.75,8
3,325,4,Gain,Full,Tight,Last,0,0.5,792.375,8
3,325,4,Lose,Full,Tight,Last,0,0.5,962.6,10
3,326,1,Gain,Full,Standard,First,0,0.444444444,695.1,10
3,326,1,Lose,Full,Standard,First,0,0.625,1008.25,8
3,326,2,Gain,Full,Standard,First,0,0.375,561.375,8
3,326,2,Lose,Full,Standard,First,0,0.9,612.7,10
3,326,3,Gain,Full,Standard,First,0,0.6,710.8,10
3,326,3,Lose,Full,Standard,First,0,0.5,612,8
3,326,4,Gain,Full,Standard,First,0,0.5,606.625,8
3,326,4,Lose,Full,Standard,First,0,0.5,744.7,10
3,327,1,Gain,Full,Standard,Last,0,0.375,800.4,10
3,327,1,Gain,Full,Tight,First,0,0.3,1072.7,10
3,327,1,Lose,Full,Standard,Last,0,0.75,990.875,8
3,327,1,Lose,Full,Tight,First,0,0.75,954.625,8
3,327,2,Gain,Full,Standard,Last,0,0.125,968.5,8
3,327,2,Gain,Full,Tight,First,0,0.25,789,8
3,327,2,Lose,Full,Standard,Last,0,0.5,1036.8,10
3,327,2,Lose,Full,Tight,First,0,0.8,831,10
3,328,3,Gain,Full,Standard,Last,0,0.3,922.2,10
3,328,3,Gain,Full,Tight,First,0,0.4,907.5,10
3,328,3,Lose,Full,Standard,Last,0,0.75,917.5,8
3,328,3,Lose,Full,Tight,First,0,0.5,1007.875,8
3,328,4,Gain,Full,Standard,Last,0,0.25,904.625,8
3,328,4,Gain,Full,Tight,First,0,0.375,967.75,8
3,328,4,Lose,Full,Standard,Last,0,0.4,1029.1,10
3,328,4,Lose,Full,Tight,First,0,0.8,1004.6,10
3,329,1,Gain,Full,Tight,Last,0,0.3,920.9,10
3,329,1,Lose,Full,Tight,Last,0,0.875,1109.375,8
3,329,2,Gain,Full,Tight,Last,0,0.5,882.875,8
3,329,2,Lose,Full,Tight,Last,0,0.7,910.7,10
3,329,3,Gain,Full,Tight,Last,0,0.7,1113,10
3,329,3,Lose,Full,Tight,Last,0,0.5,824.625,8
3,329,4,Gain,Full,Tight,Last,0,0.5,919.875,8
3,329,4,Lose,Full,Tight,Last,0,0.5,907.4,10
3,330,1,Gain,Full,Standard,First,0,0.5,556.4,10
3,330,1,Lose,Full,Standard,First,0,0.75,513.375,8
3,330,2,Gain,Full,Standard,First,0,0.375,688.25,8
3,330,2,Lose,Full,Standard,First,0,0.8,652,10
3,330,3,Gain,Full,Standard,First,0,0.4,602.7,10
3,330,3,Lose,Full,Standard,First,0,0.625,643,8
3,330,4,Gain,Full,Standard,First,0,0.25,608.625,8
3,330,4,Lose,Full,Standard,First,0,0.8,653.5,10
3,331,1,Gain,Full,Standard,Last,0,0.3,1134.9,10
3,331,1,Lose,Full,Standard,Last,0,0.375,1206.5,8
3,331,2,Gain,Full,Standard,Last,0,0.5,900.75,8
3,331,2,Lose,Full,Standard,Last,0,0.2,1025.9,10
3,331,3,Gain,Full,Standard,Last,0,0.6,1105.2,10
3,331,3,Lose,Full,Standard,Last,0,0.25,1456.875,8
3,331,4,Gain,Full,Standard,Last,0,0.5,962,8
3,331,4,Lose,Full,Standard,Last,0,0.6,1129.8,10
3,332,1,Gain,Full,Tight,First,0,0.3,1232.1,10
3,332,1,Lose,Full,Tight,First,0,0.625,1112.875,8
3,332,2,Gain,Full,Tight,First,0,0,1037.25,8
3,332,2,Lose,Full,Tight,First,0,0.7,1044.6,10
3,332,3,Gain,Full,Tight,First,0,0.5,946,10
3,332,3,Lose,Full,Tight,First,0,0.285714286,787.75,8
3,332,4,Gain,Full,Tight,First,0,0.375,944,8
3,332,4,Lose,Full,Tight,First,0,0.5,1041.3,10
3,333,1,Gain,Full,Tight,Last,0,0,982.3,10
3,333,1,Lose,Full,Tight,Last,0,1,827,8
3,333,2,Gain,Full,Tight,Last,0,0,661,8
3,333,2,Lose,Full,Tight,Last,0,1,710.4,10
3,333,3,Gain,Full,Tight,Last,0,0.5,989.4,10
3,333,3,Lose,Full,Tight,Last,0,0.5,1043.5,8
3,333,4,Gain,Full,Tight,Last,0,0.5,917.375,8
3,333,4,Lose,Full,Tight,Last,0,0.5,815.7,10
3,334,1,Gain,Full,Standard,First,0,0,829.6,10
3,334,1,Lose,Full,Standard,First,0,1,879.5,8
3,334,2,Gain,Full,Standard,First,0,0,1024.25,8
3,334,2,Lose,Full,Standard,First,0,0.8,1068.2,10
3,334,3,Gain,Full,Standard,First,0,0,812.6,10
3,334,3,Lose,Full,Standard,First,0,0.714285714,869.375,8
3,334,4,Gain,Full,Standard,First,0,0.125,751.75,8
3,334,4,Lose,Full,Standard,First,0,0.8,1066.6,10
3,335,1,Gain,Full,Standard,Last,0,0.4,1161.9,10
3,335,1,Lose,Full,Standard,Last,0,0.625,1372.75,8
3,335,2,Gain,Full,Standard,Last,0,0.5,1068.75,8
3,335,2,Lose,Full,Standard,Last,0,0.666666667,1095.9,10
3,335,3,Gain,Full,Standard,Last,0,0.4,831.6,10
3,335,3,Lose,Full,Standard,Last,0,0.5,950.875,8
3,335,4,Gain,Full,Standard,Last,0,0.375,914.875,8
3,335,4,Lose,Full,Standard,Last,0,0.6,971.1,10
3,336,1,Gain,Full,Tight,First,0,0.4,1145.1,10
3,336,1,Lose,Full,Tight,First,0,0.714285714,1059.125,8
3,336,2,Gain,Full,Tight,First,0,0.75,1096.875,8
3,336,2,Lose,Full,Tight,First,0,0.5,1024.8,10
3,336,3,Gain,Full,Tight,First,0,0.4,1161.7,10
3,336,3,Lose,Full,Tight,First,0,0.5,1160.125,8
3,336,4,Gain,Full,Tight,First,0,0.571428571,818.625,8
3,336,4,Lose,Full,Tight,First,0,0.5,861.7,10
3,337,1,Gain,Full,Tight,Last,0,0.5,647.9,10
3,337,1,Lose,Full,Tight,Last,0,0.625,626.25,8
3,337,2,Gain,Full,Tight,Last,0,0.5,604.125,8
3,337,2,Lose,Full,Tight,Last,0,0.5,695.4,10
3,337,3,Gain,Full,Tight,Last,0,0.6,845.2,10
3,337,3,Lose,Full,Tight,Last,0,0.571428571,876.5,8
3,337,4,Gain,Full,Tight,Last,0,0.625,1108.875,8
3,337,4,Lose,Full,Tight,Last,0,0.7,964,10
3,338,1,Gain,Full,Standard,First,0,0.3,775.6,10
3,338,1,Lose,Full,Standard,First,0,0.875,1247.25,8
3,338,2,Gain,Full,Standard,First,0,0,690.625,8
3,338,2,Lose,Full,Standard,First,0,0.7,1216.4,10
3,338,3,Gain,Full,Standard,First,0,0.2,806.2,10
3,338,3,Lose,Full,Standard,First,0,0.625,1171.875,8
3,338,4,Gain,Full,Standard,First,0,0,878.125,8
3,338,4,Lose,Full,Standard,First,0,0.7,1083.1,10
3,339,1,Gain,Full,Standard,Last,0,0.1,796.2,10
3,339,1,Lose,Full,Standard,Last,0,0.875,972.125,8
3,339,2,Gain,Full,Standard,Last,0,0,733.875,8
3,339,2,Lose,Full,Standard,Last,0,0.888888889,854.2,10
3,339,3,Gain,Full,Standard,Last,0,0.555555556,764.7,10
3,339,3,Lose,Full,Standard,Last,0,0.5,1176.25,8
3,339,4,Gain,Full,Standard,Last,0,0.5,1067.5,8
3,339,4,Lose,Full,Standard,Last,0,0.5,1075.8,10
3,340,1,Gain,Full,Tight,First,0,0.444444444,1116.2,10
3,340,1,Lose,Full,Tight,First,0,0.625,1509,8
3,340,2,Gain,Full,Tight,First,0,0.75,1249.5,8
3,340,2,Lose,Full,Tight,First,0,0.7,1441.3,10
3,340,3,Gain,Full,Tight,First,0,0.666666667,845.3,10
3,340,3,Lose,Full,Tight,First,0,1,945.125,8
3,340,4,Gain,Full,Tight,First,0,0.25,1028.25,8
3,340,4,Lose,Full,Tight,First,0,0.9,1003.5,10
3,341,1,Gain,Full,Tight,Last,0,0.4,1129.6,10
3,341,1,Lose,Full,Tight,Last,0,0.875,1163.375,8
3,341,2,Gain,Full,Tight,Last,0,0.375,1292.625,8
3,341,2,Lose,Full,Tight,Last,0,0.8,1082.9,10
3,341,3,Gain,Full,Tight,Last,0,0.3,1178.6,10
3,341,3,Lose,Full,Tight,Last,0,1,1092.125,8
3,341,4,Gain,Full,Tight,Last,0,0.5,1025.125,8
3,341,4,Lose,Full,Tight,Last,0,0.875,795.9,10
3,342,1,Gain,Full,Standard,Last,0,0.4,375.6,10
3,342,1,Lose,Full,Standard,Last,0,0.625,348.875,8
3,342,2,Gain,Full,Standard,Last,0,0.75,467.25,8
3,342,2,Lose,Full,Standard,Last,0,0.4,385.1,10
3,342,3,Gain,Full,Standard,Last,0,0.4,728.4,10
3,342,3,Lose,Full,Standard,Last,0,0.375,774.625,8
3,342,4,Gain,Full,Standard,Last,0,0.25,434.5,8
3,342,4,Lose,Full,Standard,Last,0,0.5,458.4,10
3,343,1,Gain,Full,Standard,First,0,0.5,814.4,10
3,343,1,Lose,Full,Standard,First,0,0.625,1065.375,8
3,343,2,Gain,Full,Standard,First,0,0.25,722.375,8
3,343,2,Lose,Full,Standard,First,0,0.444444444,618.6,10
3,343,3,Gain,Full,Standard,First,0,0.444444444,841.7,10
3,343,3,Lose,Full,Standard,First,0,0.625,928.625,8
3,343,4,Gain,Full,Standard,First,0,0.375,723.75,8
3,343,4,Lose,Full,Standard,First,0,1,710.4,10
3,344,1,Gain,Full,Standard,Last,0,0.5,958.7,10
3,344,1,Lose,Full,Standard,Last,0,0.75,1080.75,8
3,344,2,Gain,Full,Standard,Last,0,0.375,503.75,8
3,344,2,Lose,Full,Standard,Last,0,0.7,559.1,10
3,344,3,Gain,Full,Standard,Last,0,0.5,726.5,10
3,344,3,Lose,Full,Standard,Last,0,0.75,725.25,8
3,344,4,Gain,Full,Standard,Last,0,0.5,726.875,8
3,344,4,Lose,Full,Standard,Last,0,0.5,609.3,10
3,345,1,Gain,Full,Tight,First,0,0,682,10
3,345,1,Lose,Full,Tight,First,0,1,947,8
3,345,2,Gain,Full,Tight,First,0,0,578,8
3,345,2,Lose,Full,Tight,First,0,1,721.6,10
3,345,3,Gain,Full,Tight,First,0,0.3,710.7,10
3,345,3,Lose,Full,Tight,First,0,0.75,856.375,8
3,345,4,Gain,Full,Tight,First,0,0,543.25,8
3,345,4,Lose,Full,Tight,First,0,0.9,549.9,10
3,346,1,Gain,Full,Tight,Last,0,0.2,1033.2,10
3,346,1,Lose,Full,Tight,Last,0,0.5,1411.875,8
3,346,2,Gain,Full,Tight,Last,0,0,668.5,8
3,346,2,Lose,Full,Tight,Last,0,0.2,1280.4,10
3,346,3,Gain,Full,Tight,Last,0,0.3,1018.7,10
3,346,3,Lose,Full,Tight,Last,0,0.625,1181.375,8
3,346,4,Gain,Full,Tight,Last,0,0.25,984.625,8
3,346,4,Lose,Full,Tight,Last,0,0.5,1160.9,10
3,347,1,Gain,Full,Standard,First,0,0.1,698.9,10
3,347,1,Lose,Full,Standard,First,0,1,860.375,8
3,347,2,Gain,Full,Standard,First,0,0.5,894.5,8
3,347,2,Lose,Full,Standard,First,0,0.7,981.8,10
3,347,3,Gain,Full,Standard,First,0,0.4,812.6,10
3,347,3,Lose,Full,Standard,First,0,1,741.875,8
3,347,4,Gain,Full,Standard,First,0,0.125,474.125,8
3,347,4,Lose,Full,Standard,First,0,0.8,608,10
3,348,1,Gain,Full,Standard,Last,0,0.3,933,10
3,348,1,Lose,Full,Standard,Last,0,0.875,783.5,8
3,348,2,Gain,Full,Standard,Last,0,0,927.25,8
3,348,2,Lose,Full,Standard,Last,0,1,775.4,10
3,348,3,Gain,Full,Standard,Last,0,0.2,806.8,10
3,348,3,Lose,Full,Standard,Last,0,1,807.875,8
3,348,4,Gain,Full,Standard,Last,0,0.25,710.5,8
3,348,4,Lose,Full,Standard,Last,0,0.9,737.8,10
3,349,1,Gain,Full,Tight,First,0,0.1,921.8,10
3,349,1,Lose,Full,Tight,First,0,0.857142857,1064,8
3,349,2,Gain,Full,Tight,First,0,0.375,795.625,8
3,349,2,Lose,Full,Tight,First,0,0.8,1000.3,10
3,349,3,Gain,Full,Tight,First,0,0.4,865.5,10
3,349,3,Lose,Full,Tight,First,0,0.428571429,664.5,8
3,349,4,Gain,Full,Tight,First,0,0.5,676.375,8
3,349,4,Lose,Full,Tight,First,0,0.6,700.1,10
3,350,1,Gain,Full,Tight,Last,0,0.1,979.1,10
3,350,1,Lose,Full,Tight,Last,0,0.875,963.125,8
3,350,2,Gain,Full,Tight,Last,0,0,945,8
3,350,2,Lose,Full,Tight,Last,0,0.555555556,864.2,10
3,350,3,Gain,Full,Tight,Last,0,0,980.8,10
3,350,3,Lose,Full,Tight,Last,0,0.625,1000.25,8
3,350,4,Gain,Full,Tight,Last,0,0.375,812.125,8
3,350,4,Lose,Full,Tight,Last,0,0.5,991.6,10
3,351,1,Gain,Full,Standard,First,0,0,929.6,10
3,351,1,Lose,Full,Standard,First,0,0.714285714,992.75,8
3,351,2,Gain,Full,Standard,First,0,0.125,705.375,8
3,351,2,Lose,Full,Standard,First,0,1,1163.3,10
3,351,3,Gain,Full,Standard,First,0,0.444444444,844.2,10
3,351,3,Lose,Full,Standard,First,0,0.625,598.125,8
3,351,4,Gain,Full,Standard,First,0,0.5,523.125,8
3,351,4,Lose,Full,Standard,First,0,0.6,556.4,10
3,352,1,Gain,Full,Standard,Last,0,0.666666667,644.1,10
3,352,1,Lose,Full,Standard,Last,0,0.5,625.25,8
3,352,2,Gain,Full,Standard,Last,0,0.5,847.25,8
3,352,2,Lose,Full,Standard,Last,0,0.9,1041.8,10
3,352,3,Gain,Full,Standard,Last,0,0.5,693.1,10
3,352,3,Lose,Full,Standard,Last,0,0.875,784.375,8
3,352,4,Gain,Full,Standard,Last,0,0.625,643.625,8
3,352,4,Lose,Full,Standard,Last,0,0.6,846.7,10
3,353,1,Gain,Full,Tight,First,0,0.4,960.5,10
3,353,1,Lose,Full,Tight,First,0,1,871.5,8
3,353,2,Gain,Full,Tight,First,0,0.375,860.75,8
3,353,2,Lose,Full,Tight,First,0,1,649.3,10
3,353,3,Gain,Full,Tight,First,0,0.5,911.7,10
3,353,3,Lose,Full,Tight,First,0,0.875,1083,8
3,353,4,Gain,Full,Tight,First,0,0.75,800.25,8
3,353,4,Lose,Full,Tight,First,0,0.555555556,717.3,10
3,354,1,Gain,Full,Tight,Last,0,0.3,1018.2,10
3,354,1,Lose,Full,Tight,Last,0,0.875,909.375,8
3,354,2,Gain,Full,Tight,Last,0,0.25,1120,8
3,354,2,Lose,Full,Tight,Last,0,1,1039.4,10
3,354,3,Gain,Full,Tight,Last,0,0.4,1106.1,10
3,354,3,Lose,Full,Tight,Last,0,0.625,1202,8
3,354,4,Gain,Full,Tight,Last,0,0.285714286,1001.625,8
3,354,4,Lose,Full,Tight,Last,0,0.5,1227.2,10
3,355,1,Gain,Full,Standard,First,0,0.5,1089.4,10
3,355,1,Lose,Full,Standard,First,0,0.428571429,973.125,8
3,355,2,Gain,Full,Standard,First,0,0.375,749,8
3,355,2,Lose,Full,Standard,First,0,0.5,986.8,10
3,355,3,Gain,Full,Standard,First,0,0.5,670.4,10
3,355,3,Lose,Full,Standard,First,0,0.5,717.125,8
3,355,4,Gain,Full,Standard,First,0,0.5,650.625,8
3,355,4,Lose,Full,Standard,First,0,0.4,768.4,10
3,356,1,Gain,Full,Standard,Last,0,0.4,752.3,10
3,356,1,Lose,Full,Standard,Last,0,0.857142857,799.5,8
3,356,2,Gain,Full,Standard,Last,0,0.25,572.5,8
3,356,2,Lose,Full,Standard,Last,0,0.8,803.7,10
3,356,3,Gain,Full,Standard,Last,0,0.5,663.1,10
3,356,3,Lose,Full,Standard,Last,0,0.75,566,8
3,356,4,Gain,Full,Standard,Last,0,0.625,877.625,8
3,356,4,Lose,Full,Standard,Last,0,0.5,579.3,10
3,357,1,Gain,Full,Tight,First,0,0.111111111,840.2,10
3,357,1,Lose,Full,Tight,First,0,1,873.875,8
3,357,2,Gain,Full,Tight,First,0,0.25,742.875,8
3,357,2,Lose,Full,Tight,First,0,1,746.2,10
3,357,3,Gain,Full,Tight,First,0,0.5,1085.6,10
3,357,3,Lose,Full,Tight,First,0,0.5,1205.625,8
3,357,4,Gain,Full,Tight,First,0,0.5,899.375,8
3,357,4,Lose,Full,Tight,First,0,0.5,974.2,10
3,358,1,Gain,Full,Tight,Last,0,0.7,908.5,10
3,358,1,Lose,Full,Tight,Last,0,0.5,899.75,8
3,358,2,Gain,Full,Tight,Last,0,0.375,575.125,8
3,358,2,Lose,Full,Tight,Last,0,0.7,593.7,10
3,358,3,Gain,Full,Tight,Last,0,0.5,580.6,10
3,358,3,Lose,Full,Tight,Last,0,0.625,607.875,8
3,358,4,Gain,Full,Tight,Last,0,0.375,701,8
3,358,4,Lose,Full,Tight,Last,0,0.6,625.8,10
3,359,1,Gain,Full,Standard,Last,0,0.3,1226.3,10
3,359,1,Lose,Full,Standard,Last,0,0.625,1255.375,8
3,359,2,Gain,Full,Standard,Last,0,0,1158.25,8
3,359,2,Lose,Full,Standard,Last,0,0.5,1374.7,10
3,359,3,Gain,Full,Standard,Last,0,0.5,903.3,10
3,359,3,Lose,Full,Standard,Last,0,0.428571429,1134.125,8
3,359,4,Gain,Full,Standard,Last,0,0.5,1031.875,8
3,359,4,Lose,Full,Standard,Last,0,0.5,1180.2,10
3,360,1,Gain,Full,Standard,First,0,0.2,962.2,10
3,360,1,Lose,Full,Standard,First,0,1,897.25,8
3,360,2,Gain,Full,Standard,First,0,0,877.25,8
3,360,2,Lose,Full,Standard,First,0,0.4,1051.9,10
3,360,3,Gain,Full,Standard,First,0,0,548.1,10
3,360,3,Lose,Full,Standard,First,0,0.714285714,779.875,8
3,360,4,Gain,Full,Standard,First,0,0.25,666.375,8
